uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
72038180c820d5a7d22fc036d903cf02,"La tregua no declarada que Israel ha mantenido en Oriente Próximo tras el estallido de la pandemia de coronavirus ya es historia. Los ataques de la aviación israelí contra posiciones de Irán y sus aliados chiíes en Siria se han redoblado desde hace dos semanas. En las últimas horas, la escalada bélica en los cielos del país árabe ha golpeado un estratégico centro de investigación militar en Alepo (norte) y bases de las fuerzas iraníes y de milicias afiliadas libanesas e iraquíes en Deir Ezzor (este), donde perdieron la vida 14 combatientes.",Israel pone fin a la tregua del coronavirus con ataques a Irán y sus aliados en Siria ,https://elpais.com/internacional/2020-05-05/israel-pone-fin-a-la-tregua-del-coronavirus-con-ataques-a-iran-y-sus-aliados-en-siria.html,elpais,elpais.com,9,49
5f77f5d7a50b737d53fa66c72ec785b4,Un documento interno de la Consejería de Sanidad de Madrid revela que los 100.000 test rápidos de coronavirus comprados por la comunidad para los trabajadores sanitarios tienen una fiabilidad mucho menor de lo anunciado por el Gobierno regional.,Los test usados con los sanitarios de Madrid no resultan fiables ,https://elpais.com/sociedad/2020-05-05/los-test-usados-con-los-sanitarios-de-madrid-no-resultan-fiables.html,elpais,elpais.com,6,18
9063f1aabb1bc161875cc553f1f99881,"Neil Ferguson (51 años), el científico que forzó a Boris Johnson a dar un giro en su estrategia contra la pandemia del coronavirus, ha dimitido como miembro del comité que asesora al Gobierno después de que el diario conservador The Daily Telegraph revelara en exclusiva que se había saltado las medidas de confinamiento que él defendió con tanto vigor. Ferguson permitió que su amante, Antonia Staats (38 años), quien vivía con su marido e hijos en otro domicilio, atravesara todo Londres y le visitara al menos en dos ocasiones en su casa después del 23 de marzo, cuando Downing Street había impuesto ya medidas extremas de distanciamiento social.",El asesor científico que forzó el giro de Johnson dimite por saltarse el confinamiento,https://elpais.com/sociedad/2020-05-05/el-asesor-cientifico-que-forzo-el-giro-de-johnson-dimite-por-saltarse-el-confinamiento.html,elpais,elpais.com,8,56
e204ff16476c84d7544159ff7a330e6d,"La desconfianza internacional hacia Pekín por su gestión de la crisis del coronavirus se intensifica conforme pasan las semanas. Un informe del Gobierno estadounidense sostiene que el régimen de Xi Jinping “ocultó intencionalmente la gravedad” de la pandemia, iniciada en la ciudad de Wuhan, mientras reforzaba sus provisiones de material sanitario, acusación que se suma a la de los servicios de inteligencia de otros países. Reino Unido señaló que China tendrá que responder preguntas, una vez superada la debacle.",EE UU cree que China ocultó la gravedad del brote mientras reforzaba sus provisiones de material sanitario,https://elpais.com/internacional/2020-05-05/ee-uu-cree-que-china-oculto-la-gravedad-del-brote-mientras-reforzaba-sus-provisiones-de-material-sanitario.html,elpais,elpais.com,12,44
06e89aa205f75722687cbab9d99b6ec5,"La mayoría con la que Pedro Sánchez fue elegido está mutando, al menos de forma temporal. Para el decreto sobre el estado de alarma, que se vota este miércoles, ERC se cae de ese grupo, y entra Ciudadanos: el Gobierno cerró este martes un pacto con Inés Arrimadas que incluye concesiones políticas —contactos cada semana para consensuar la desescalada— y económicas —acordar ERTEs y ayudas a autónomos cuando acabe la alarma—. El Gobierno también ha negociado cesiones con el PNV para que las decisiones de la desescalada se tomen de forma conjunta con las autonomías. El decreto estaría así garantizado. Incluso si el PP opta por el no, que no ha presentado ninguna enmienda al decreto.",Sánchez pacta con Arrimadas y ofrece cogobernanza a los nacionalistas para salvar el estado de alarma,https://elpais.com/espana/2020-05-05/sanchez-pacta-con-arrimadas-y-ofrece-cogobernanza-a-los-nacionalistas-para-salvar-el-estado-de-alarma.html,elpais,elpais.com,8,55
f390391c0c795e257b82d2a710455e91,"El 19 de enero, un varón de 35 años se presentó en un centro de salud en el condado de Snohomish, en el Estado de Washington, y aseguró que llevaba cuatro días tosiendo y con sensación de fiebre. Estuvo veinte minutos en la sala de espera y después le pasaron a una consulta donde se le examinó. Explicó que había regresado de una visita a su familia en Wuhan, China, el pasado 15 de enero. Al ver una alerta de seguridad sobre el nuevo coronavirus, decidió acudir al médico.",Así se curó el primer paciente de covid-19 en Estados Unidos,https://elpais.com/ciencia/2020-05-05/asi-se-curo-el-primer-paciente-de-covid-19-en-estados-unidos.html,elpais,elpais.com,5,40
ebbbbf807e45044d99117addd557404c,"El club Alumni de Ensenada fue alguna vez un agitado centro de conciertos. En sus paredes pintadas de rojo hay murales con motivos de rock y los restos de un escenario de madera. Una puerta ancha abre a un patio trasero de piso de cemento. La maleza que crece sin control es evidencia del abandono. Hace dos años, un club del trueque resucitó el Alumni como sitio de encuentro del barrio. Estamos a 60 kilómetros de Buenos Aires y aquí funciona uno de los 200 centros que hay en Argentina. Cada martes, un centenar de socios intercambia aquí lo que produce y suma un ingreso extra a casa. Pero las reuniones se cortaron de un día para el otro con la cuarentena decretada el 20 de marzo. Hoy, los socios se resisten a perder el trueque y reinventan el club con herramientas virtuales.","Vuelve el trueque, salvavidas de víctimas de las crisis en Argentina",https://elpais.com/sociedad/2020-05-05/vuelve-el-trueque-salvavidas-de-victimas-de-las-crisis-en-argentina.html,elpais,elpais.com,6,72
ed0c389dbd1895a74a1ef2bc15d45e8f,"Walmart de México y Centroamérica anuncia que a partir del pasado primero de mayo entró en vigor su campaña Los Esenciales, iniciativa que busca asegurar artículos de primera necesidad a sus consumidores en todo el país.","Ante la contingencia sanitaria, Walmart lanza Los Esenciales ",https://elpais.com/economia/2020-05-03/ante-la-contingencia-sanitaria-walmart-lanza-los-esenciales.html,elpais,elpais.com,5,20
a1a93aae26dfdf9dcdd4c73edb52c499,"El duro confinamiento por el coronavirus ha impedido a los españoles salir a pasear o hacer deporte durante casi 50 días. El pasado fin de semana se permitió la actividad física individual y se vieron escenas de gente corriendo por la calzada para evitar hacerlo por aceras estrechas. ¿Es el momento de reabrir los parques urbanos o eso podría causar un rebrote? Mientras los expertos se debaten entre la idoneidad de la medida y la prudencia, varias ciudades están abriendo progresivamente sus zonas verdes, algo que Madrid descarta por el momento.",La controvertida reapertura de los parques urbanos,https://elpais.com/sociedad/2020-05-05/la-controvertida-reapertura-de-los-parques-urbanos.html,elpais,elpais.com,4,49
b4a96db8ad3d25b36346fbc60590de59,"Sobre las dos de la tarde del pasado viernes, Sharmel Teague acudió a una tienda de descuentos Family Dollar en Flint, Michigan. Llevaba mascarilla, como ordena la política estatal, para evitar la propagación del coronavirus. Su hija, en cambio, iba a cara descubierta. Calvin Munerlyn, de 43 años, guardia de seguridad del local, le advirtió a Teague que su hija debía usar mascarilla. Según el relato de la fiscalía entregado este lunes, los dos adultos discutieron y la mujer se marchó. Volvió a los 20 minutos acompañada de su esposo y su hijo. Este último cargaba una pistola y le disparó en la cabeza a Munerlyn, quien murió. Los tres clientes involucrados en la tragedia han sido acusados de asesinato en primer grado.",Asesinado a tiros un guardia de seguridad tras solicitar el uso de la mascarilla en una tienda de Michigan,https://elpais.com/sociedad/2020-05-05/asesinado-a-tiros-un-guardia-de-seguridad-tras-solicitar-el-uso-de-la-mascarilla-en-una-tienda-de-michigan.html,elpais,elpais.com,10,69
